,tweet_id,created_date,username,location,retweeted_username,content_type,mentioned_users,text,positive_sent_score,negative_sent_score,compound_sent_score
10507,1495617626713862144,Mon Feb 21 04:33:24 +0000 2022,Ms. Gina 🐝🎁,,Tony 🌊 #DemVoice1,RT,['Tony 🌊 #DemVoice1'],"RT @TonyHussein4: #RenewableEnergy skeptics argue that because of their variability, wind &amp; solar cannot be the foundation of an electricit…",0.0,17.4,17.4
10512,1495616384566497281,Mon Feb 21 04:28:27 +0000 2022,Arnergy,Nigeria and West Africa,Arnergy,Tweet (self-loop),[],"With Arnergy’s Solar System, it’s out with the old, uncomfortable way of living and in with the new, healthier lifestyle.

Go green, go solar, choose Arnergy.

#solar #fuelscarcity #fuelscarcityinnigeria #solarenergy #renewableenergy https://t.co/eod6TZeOqn",0.0,7.7,7.7
10519,1495614704336748547,Mon Feb 21 04:21:47 +0000 2022,PSIVS,,Senator Katie Muth,RT,['Senator Katie Muth'],RT @SenatorMuth: Global warming is the biggest &amp; most threatening problem facing the world &amp; big problems can only be solved with urgent ac…,16.7,28.5,28.5
10534,1495612454696595458,Mon Feb 21 04:12:50 +0000 2022,energyreferral.xyz,,Techcomp Limited,RT,['Techcomp Limited'],"RT @Techcomp_Ltd: #SolarCells are a huge potential source of #RenewableEnergy in the fight against climate change.

We examine how #photolu…",10.0,11.4,11.4
10541,1495612270705008641,Mon Feb 21 04:12:07 +0000 2022,John Snowmountainer,,Techcomp Limited,RT,['Techcomp Limited'],"RT @Techcomp_Ltd: #SolarCells are a huge potential source of #RenewableEnergy in the fight against climate change.

We examine how #photolu…",10.0,11.4,11.4
10544,1495612236311711750,Mon Feb 21 04:11:58 +0000 2022,John Snowmountainer,,rosemary eng,RT,['rosemary eng'],"RT @RengsecondEng: A year after #Texas cold spell, study shows #renewableEnergy could avoid #blackouts https://t.co/pj4NUiJpS9",0.0,13.6,13.6
10558,1495608544783122439,Mon Feb 21 03:57:18 +0000 2022,rosemary eng,United States,rosemary eng,Tweet (self-loop),[],"A year after #Texas cold spell, study shows #renewableEnergy could avoid #blackouts https://t.co/pj4NUiJpS9",0.0,15.5,15.5
10563,1495607054580731907,Mon Feb 21 03:51:23 +0000 2022,Sam Berridge,"Perth, Western Australia",Sam Berridge,Tweet (self-loop),[],"There's a lot of #renewableenergy fanatics who overlook the impact higher energy prices will and are having on lower income earners. These people vote and if their wants and needs aren't respected, a lot of the political tailwinds behind decarbonisation will vanish. $AGL.",4.5,10.1,10.1
10567,1495605490759479296,Mon Feb 21 03:45:10 +0000 2022,GoldenDaumer,,XGLOBAL Markets,RT,['XGLOBAL Markets'],RT @xglobalmarkets: The Saudi energy minister said on Sunday that focusing only on renewable power sources was a mistake and that the world…,8.2,9.4,9.4
10577,1495600942196133893,Mon Feb 21 03:27:06 +0000 2022,Mesa,United States,Tony 🌊 #DemVoice1,RT,['Tony 🌊 #DemVoice1'],"RT @TonyHussein4: #RenewableEnergy skeptics argue that because of their variability, wind &amp; solar cannot be the foundation of an electricit…",0.0,17.4,17.4
10584,1495597453579624451,Mon Feb 21 03:13:14 +0000 2022,energyreferral.xyz,,Steven C. Hall,RT,['Steven C. Hall'],"RT @Chandlerllc: A year after Texas cold spell, study shows #renewableenergy could avoid blackouts - The Washington Post - Of course https:…",0.0,9.5,9.5
10588,1495597235651977217,Mon Feb 21 03:12:22 +0000 2022,John Snowmountainer,,Steven C. Hall,RT,['Steven C. Hall'],"RT @Chandlerllc: A year after Texas cold spell, study shows #renewableenergy could avoid blackouts - The Washington Post - Of course https:…",0.0,9.5,9.5
10594,1495596435001249796,Mon Feb 21 03:09:11 +0000 2022,Steven C. Hall,Greenwich CT USA,Steven C. Hall,Tweet (self-loop),[],"A year after Texas cold spell, study shows #renewableenergy could avoid blackouts - The Washington Post - Of course https://t.co/0it0DoBsrj",0.0,10.4,10.4
10608,1495584828833648644,Mon Feb 21 02:23:04 +0000 2022,Solar Masons,"Scranton, PA",Solar Masons,Tweet (self-loop),['Texas Tribune'],"Texas grid changes target reliability, neglect climate change | The Texas Tribune https://t.co/DMMeXnOYc8 via @texastribune #RenewableEnergy #SolarEnergy #SolarMasons #SolarPV",0.0,14.3,14.3
10609,1495584514957103109,Mon Feb 21 02:21:49 +0000 2022,I Just Wanna Save The World,The World,Tony 🌊 #DemVoice1,RT,['Tony 🌊 #DemVoice1'],"RT @TonyHussein4: #RenewableEnergy skeptics argue that because of their variability, wind &amp; solar cannot be the foundation of an electricit…",0.0,17.4,17.4
10628,1495581542088777729,Mon Feb 21 02:10:00 +0000 2022,Joanna Johnson 💉💉💉,"Melbourne, Australia",Joanna Johnson 💉💉💉,Tweet (self-loop),"['Katharine Murphy', 'Mike Cannon-Brookes 👨🏼\u200d💻🧢🇦🇺']",@murpharoo @mcannonbrookes Makes me so Angry because its just not true. #renewableenergy is the way to go and we can control it much more easily that's why they hate it..they have lost control!,6.2,29.5,29.5
10638,1495575981595271171,Mon Feb 21 01:47:55 +0000 2022,Keith Johnson #TerraformEarth1st 🌈,Michigan,George Tsakraklides,RT,['George Tsakraklides'],"RT @99blackbaloons: “To manufacture something “clean”, you have to pollute something else.  The problem is not being dirty or clean, the pr…",17.5,20.6,20.6
10647,1495571152017764352,Mon Feb 21 01:28:43 +0000 2022,N Skye McCloud,,Tony 🌊 #DemVoice1,RT,['Tony 🌊 #DemVoice1'],"RT @TonyHussein4: #RenewableEnergy skeptics argue that because of their variability, wind &amp; solar cannot be the foundation of an electricit…",0.0,17.4,17.4
10681,1495556567319687168,Mon Feb 21 00:30:46 +0000 2022,🇦🇺 Australian Solar and Renewable Energy News,Gladstone NSW 2440 Australia,🇦🇺 Australian Solar and Renewable Energy News,Tweet (self-loop),[],Cannon-Brookes’ unstoppable billions pierce the bubble of fossil fuel denial https://t.co/M8eTWT0krN #solarpanels #renewableenergy https://t.co/AEy5sJQfg5,0.0,12.2,12.2
10690,1495553688449994754,Mon Feb 21 00:19:20 +0000 2022,☀️ Solar Power & Battery Storage Directory ☀️,Gladstone NSW 2440,☀️ Solar Power & Battery Storage Directory ☀️,Tweet (self-loop),[],Cannon-Brookes’ unstoppable billions pierce the bubble of fossil... https://t.co/vdmqjXAqfX #solarpanels #renewableenergy #solarpowersystems https://t.co/vC06Uo7Vu8,0.0,13.0,13.0
10709,1495550066664386564,Mon Feb 21 00:04:56 +0000 2022,Bill Lewis,"Toronto, Canada",Tony 🌊 #DemVoice1,RT,['Tony 🌊 #DemVoice1'],"RT @TonyHussein4: #RenewableEnergy skeptics argue that because of their variability, wind &amp; solar cannot be the foundation of an electricit…",0.0,17.4,17.4
10714,1495546554534428672,Sun Feb 20 23:50:59 +0000 2022,Having Said That 🗣,"Santa Barbara, CA",Tony 🌊 #DemVoice1,RT,['Tony 🌊 #DemVoice1'],"RT @TonyHussein4: #RenewableEnergy skeptics argue that because of their variability, wind &amp; solar cannot be the foundation of an electricit…",0.0,17.4,17.4
10719,1495543442973335555,Sun Feb 20 23:38:37 +0000 2022,Krickette,,Tony 🌊 #DemVoice1,RT,['Tony 🌊 #DemVoice1'],"RT @TonyHussein4: #RenewableEnergy skeptics argue that because of their variability, wind &amp; solar cannot be the foundation of an electricit…",0.0,17.4,17.4
10723,1495541771027288081,Sun Feb 20 23:31:58 +0000 2022,Kevin Cates,"Pittsburg, Kansas",Tony 🌊 #DemVoice1,RT,['Tony 🌊 #DemVoice1'],"RT @TonyHussein4: #RenewableEnergy skeptics argue that because of their variability, wind &amp; solar cannot be the foundation of an electricit…",0.0,17.4,17.4
10730,1495537274591006722,Sun Feb 20 23:14:06 +0000 2022,Kisanaaaa🤩🥰,"Monroe, LA",Ovit Pursley,RT,['Ovit Pursley'],RT @ovitgroup: Join our Global Impact Team @ Solar Oil Project. Stake #smartcontracts to earn #ETH or #BTC by modernizing abandoned oil wel…,8.4,11.5,11.5
10750,1495535311522254849,Sun Feb 20 23:06:18 +0000 2022,marikong 🇯🇵,🇯🇵 Osaka Japan,Tony 🌊 #DemVoice1,RT,['Tony 🌊 #DemVoice1'],"RT @TonyHussein4: #RenewableEnergy skeptics argue that because of their variability, wind &amp; solar cannot be the foundation of an electricit…",0.0,17.4,17.4
10767,1495529394009481216,Sun Feb 20 22:42:47 +0000 2022,SueGibbs,United States,Tony 🌊 #DemVoice1,RT,['Tony 🌊 #DemVoice1'],"RT @TonyHussein4: #RenewableEnergy skeptics argue that because of their variability, wind &amp; solar cannot be the foundation of an electricit…",0.0,17.4,17.4
10769,1495529225469804550,Sun Feb 20 22:42:07 +0000 2022,NexaAdvisory,"Melbourne, Australia",NexaAdvisory,Tweet (self-loop),[],AGL rejects takeover bid by Mike Cannon-Brookes and Canadian fund manager Brookfield https://t.co/1KpRSsC6bn #renewables #renewableenergy,0.0,18.6,18.6
10771,1495528576065720321,Sun Feb 20 22:39:32 +0000 2022,Christine James-McNeill,"Detroit, MI",Tony 🌊 #DemVoice1,RT,['Tony 🌊 #DemVoice1'],"RT @TonyHussein4: #RenewableEnergy skeptics argue that because of their variability, wind &amp; solar cannot be the foundation of an electricit…",0.0,17.4,17.4
10772,1495528378157481986,Sun Feb 20 22:38:45 +0000 2022,Scorched Earth Dem,"New Jersey, USA",Tony 🌊 #DemVoice1,RT,['Tony 🌊 #DemVoice1'],"RT @TonyHussein4: #RenewableEnergy skeptics argue that because of their variability, wind &amp; solar cannot be the foundation of an electricit…",0.0,17.4,17.4
10775,1495526865179750407,Sun Feb 20 22:32:44 +0000 2022,"Charles J. Navin, Jr",Republic of Panama',Tony 🌊 #DemVoice1,RT,['Tony 🌊 #DemVoice1'],"RT @TonyHussein4: #RenewableEnergy skeptics argue that because of their variability, wind &amp; solar cannot be the foundation of an electricit…",0.0,17.4,17.4
10778,1495526045730017280,Sun Feb 20 22:29:29 +0000 2022,Shiratha,,Tony 🌊 #DemVoice1,RT,['Tony 🌊 #DemVoice1'],"RT @TonyHussein4: #RenewableEnergy skeptics argue that because of their variability, wind &amp; solar cannot be the foundation of an electricit…",0.0,17.4,17.4
10779,1495525550802161664,Sun Feb 20 22:27:31 +0000 2022,Dystopian🐉,Contrary land,Tony 🌊 #DemVoice1,RT,['Tony 🌊 #DemVoice1'],"RT @TonyHussein4: #RenewableEnergy skeptics argue that because of their variability, wind &amp; solar cannot be the foundation of an electricit…",0.0,17.4,17.4
10792,1495522316125544450,Sun Feb 20 22:14:40 +0000 2022,☯️♏🏳️‍🌈😸🌊,"Philly, Madison, Santa Fe,DEN",Tony 🌊 #DemVoice1,RT,['Tony 🌊 #DemVoice1'],"RT @TonyHussein4: #RenewableEnergy skeptics argue that because of their variability, wind &amp; solar cannot be the foundation of an electricit…",0.0,17.4,17.4
10793,1495522148030418946,Sun Feb 20 22:14:00 +0000 2022,Rogue Citizen One,Northern California,Tony 🌊 #DemVoice1,RT,['Tony 🌊 #DemVoice1'],"RT @TonyHussein4: #RenewableEnergy skeptics argue that because of their variability, wind &amp; solar cannot be the foundation of an electricit…",0.0,17.4,17.4
10804,1495521676758499331,Sun Feb 20 22:12:07 +0000 2022,Bonrat,"Harrisburg, PA",Tony 🌊 #DemVoice1,RT,['Tony 🌊 #DemVoice1'],"RT @TonyHussein4: #RenewableEnergy skeptics argue that because of their variability, wind &amp; solar cannot be the foundation of an electricit…",0.0,17.4,17.4
10808,1495520103747637252,Sun Feb 20 22:05:52 +0000 2022,Terri Loves America 💙🇺🇸,"Las Vegas, NV & Panguitch, UT",Tony 🌊 #DemVoice1,RT,['Tony 🌊 #DemVoice1'],"RT @TonyHussein4: #RenewableEnergy skeptics argue that because of their variability, wind &amp; solar cannot be the foundation of an electricit…",0.0,17.4,17.4
10818,1495517496874520580,Sun Feb 20 21:55:31 +0000 2022,Bob Weil,"Piscataway, NJ",Tony 🌊 #DemVoice1,RT,['Tony 🌊 #DemVoice1'],"RT @TonyHussein4: #RenewableEnergy skeptics argue that because of their variability, wind &amp; solar cannot be the foundation of an electricit…",0.0,17.4,17.4
10820,1495516949375119360,Sun Feb 20 21:53:20 +0000 2022,litscrib,,Tony 🌊 #DemVoice1,RT,['Tony 🌊 #DemVoice1'],"RT @TonyHussein4: #RenewableEnergy skeptics argue that because of their variability, wind &amp; solar cannot be the foundation of an electricit…",0.0,17.4,17.4
10822,1495516182413443072,Sun Feb 20 21:50:17 +0000 2022,FreeThinker,"Wyoming, USA",Tony 🌊 #DemVoice1,RT,['Tony 🌊 #DemVoice1'],"RT @TonyHussein4: #RenewableEnergy skeptics argue that because of their variability, wind &amp; solar cannot be the foundation of an electricit…",0.0,17.4,17.4
10823,1495515883577516035,Sun Feb 20 21:49:06 +0000 2022,LindaRobotMarie🤖,,Tony 🌊 #DemVoice1,RT,['Tony 🌊 #DemVoice1'],"RT @TonyHussein4: #RenewableEnergy skeptics argue that because of their variability, wind &amp; solar cannot be the foundation of an electricit…",0.0,17.4,17.4
10826,1495514140429156352,Sun Feb 20 21:42:11 +0000 2022,Sandy 💛,Australia and The Universe🦋🦋,Tony 🌊 #DemVoice1,RT,['Tony 🌊 #DemVoice1'],"RT @TonyHussein4: #RenewableEnergy skeptics argue that because of their variability, wind &amp; solar cannot be the foundation of an electricit…",0.0,17.4,17.4
10864,1495496774932434949,Sun Feb 20 20:33:10 +0000 2022,Martin Rogue,Illinois ,Tony 🌊 #DemVoice1,RT,['Tony 🌊 #DemVoice1'],"RT @TonyHussein4: #RenewableEnergy skeptics argue that because of their variability, wind &amp; solar cannot be the foundation of an electricit…",0.0,17.4,17.4
10887,1495491676219088900,Sun Feb 20 20:12:55 +0000 2022,energyreferral.xyz,,XGLOBAL Markets,RT,['XGLOBAL Markets'],RT @xglobalmarkets: The Saudi energy minister said on Sunday that focusing only on renewable power sources was a mistake and that the world…,8.2,9.4,9.4
10888,1495491658942664710,Sun Feb 20 20:12:51 +0000 2022,energyreferral.xyz,,Fund Renewable Energy,RT,['Fund Renewable Energy'],RT @fundrenewables: How Tesla’s Battery Mastermind Is Tackling EV's Biggest Problem #renewableenergy #energystorage https://t.co/7GQHUzzZ6e,0.0,17.2,17.2
10890,1495491588432273408,Sun Feb 20 20:12:34 +0000 2022,Oil & Gas Updates,,XGLOBAL Markets,RT,['XGLOBAL Markets'],RT @xglobalmarkets: The Saudi energy minister said on Sunday that focusing only on renewable power sources was a mistake and that the world…,8.2,9.4,9.4
10894,1495491469406261252,Sun Feb 20 20:12:05 +0000 2022,John Snowmountainer,,XGLOBAL Markets,RT,['XGLOBAL Markets'],RT @xglobalmarkets: The Saudi energy minister said on Sunday that focusing only on renewable power sources was a mistake and that the world…,8.2,9.4,9.4
10896,1495491439572180993,Sun Feb 20 20:11:58 +0000 2022,John Snowmountainer,,Fund Renewable Energy,RT,['Fund Renewable Energy'],RT @fundrenewables: How Tesla’s Battery Mastermind Is Tackling EV's Biggest Problem #renewableenergy #energystorage https://t.co/7GQHUzzZ6e,0.0,17.2,17.2
10904,1495488974361710602,Sun Feb 20 20:02:10 +0000 2022,𝓑𝓙,,Tony 🌊 #DemVoice1,RT,['Tony 🌊 #DemVoice1'],"RT @TonyHussein4: #RenewableEnergy skeptics argue that because of their variability, wind &amp; solar cannot be the foundation of an electricit…",0.0,17.4,17.4
10905,1495488929012887554,Sun Feb 20 20:02:00 +0000 2022,🐾Angie K 💙🏴‍☠️🔬🧫,The South,Tony 🌊 #DemVoice1,RT,['Tony 🌊 #DemVoice1'],"RT @TonyHussein4: #RenewableEnergy skeptics argue that because of their variability, wind &amp; solar cannot be the foundation of an electricit…",0.0,17.4,17.4
10919,1495486169982853122,Sun Feb 20 19:51:02 +0000 2022,🇺🇸Stands With Ukraine🇺🇦 DocLaing™️,"🇺🇸Blue Colorado,USA🇺🇸",Tony 🌊 #DemVoice1,RT,['Tony 🌊 #DemVoice1'],"RT @TonyHussein4: #RenewableEnergy skeptics argue that because of their variability, wind &amp; solar cannot be the foundation of an electricit…",0.0,17.4,17.4
10920,1495486107533852674,Sun Feb 20 19:50:47 +0000 2022,Fund Renewable Energy,Earth,Fund Renewable Energy,Tweet (self-loop),[],How Tesla’s Battery Mastermind Is Tackling EV's Biggest Problem #renewableenergy #energystorage https://t.co/7GQHUzzZ6e,0.0,19.7,19.7
10941,1495479887616004102,Sun Feb 20 19:26:04 +0000 2022,NexaAdvisory,"Melbourne, Australia",NexaAdvisory,Tweet (self-loop),[],The Guardian view on Britain’s green economy: seriously underpowered | Editorial https://t.co/p7oepstuvp #renewables #renewableenergy,0.0,11.6,11.6
10973,1495473360129732617,Sun Feb 20 19:00:08 +0000 2022,drmarguerite,,Tony 🌊 #DemVoice1,RT,['Tony 🌊 #DemVoice1'],"RT @TonyHussein4: #RenewableEnergy skeptics argue that because of their variability, wind &amp; solar cannot be the foundation of an electricit…",0.0,17.4,17.4
10974,1495473342601695234,Sun Feb 20 19:00:04 +0000 2022,South Carolina Energy News,South Carolina,South Carolina Energy News,Tweet (self-loop),[],"RT TonyHussein4: #RenewableEnergy skeptics argue that because of their variability, wind &amp;amp; solar cannot be the foundation of an electricit…",0.0,17.4,17.4
10975,1495473331633639430,Sun Feb 20 19:00:01 +0000 2022,ReeferMadness,Between Venus and Mars,Tony 🌊 #DemVoice1,RT,['Tony 🌊 #DemVoice1'],"RT @TonyHussein4: #RenewableEnergy skeptics argue that because of their variability, wind &amp; solar cannot be the foundation of an electricit…",0.0,17.4,17.4
10976,1495473287257890830,Sun Feb 20 18:59:50 +0000 2022,Jon Kitchen 🔁,"Clarksville, IN",Tony 🌊 #DemVoice1,RT,['Tony 🌊 #DemVoice1'],"RT @TonyHussein4: #RenewableEnergy skeptics argue that because of their variability, wind &amp; solar cannot be the foundation of an electricit…",0.0,17.4,17.4
10978,1495472805009313801,Sun Feb 20 18:57:55 +0000 2022,JamBerry 🇺🇸🌊💙#DemVoice1,"NW Florida, USA",Tony 🌊 #DemVoice1,RT,['Tony 🌊 #DemVoice1'],"RT @TonyHussein4: #RenewableEnergy skeptics argue that because of their variability, wind &amp; solar cannot be the foundation of an electricit…",0.0,17.4,17.4
10984,1495470807945932802,Sun Feb 20 18:49:59 +0000 2022,Bennz ✍️ 📢,,Tony 🌊 #DemVoice1,RT,['Tony 🌊 #DemVoice1'],"RT @TonyHussein4: #RenewableEnergy skeptics argue that because of their variability, wind &amp; solar cannot be the foundation of an electricit…",0.0,17.4,17.4
10991,1495468790632656902,Sun Feb 20 18:41:58 +0000 2022,Brenda💙46 - Build Back Better 👊🍷🏡💥🍹🏝📫,Blue dot in Red State WV,Tony 🌊 #DemVoice1,RT,['Tony 🌊 #DemVoice1'],"RT @TonyHussein4: #RenewableEnergy skeptics argue that because of their variability, wind &amp; solar cannot be the foundation of an electricit…",0.0,17.4,17.4
10995,1495467464368750592,Sun Feb 20 18:36:42 +0000 2022,Old Sailor: Make All of America great for once.,A Pacific Northwest rainforest,Tony 🌊 #DemVoice1,RT,['Tony 🌊 #DemVoice1'],"RT @TonyHussein4: #RenewableEnergy skeptics argue that because of their variability, wind &amp; solar cannot be the foundation of an electricit…",0.0,17.4,17.4
10996,1495467189373227013,Sun Feb 20 18:35:37 +0000 2022,Mad_as_hell_#NeverForget_#DemVoice1🇺🇸,3rd rock from the sun,Tony 🌊 #DemVoice1,RT,['Tony 🌊 #DemVoice1'],"RT @TonyHussein4: #RenewableEnergy skeptics argue that because of their variability, wind &amp; solar cannot be the foundation of an electricit…",0.0,17.4,17.4
10999,1495465512150745088,Sun Feb 20 18:28:57 +0000 2022,2021_ Free of trump junior ivanka jared pompeo,America,Tony 🌊 #DemVoice1,RT,['Tony 🌊 #DemVoice1'],"RT @TonyHussein4: #RenewableEnergy skeptics argue that because of their variability, wind &amp; solar cannot be the foundation of an electricit…",0.0,17.4,17.4
11004,1495462965763477504,Sun Feb 20 18:18:50 +0000 2022,Cari 🦋 (AKA CareBear) Kindness Matters💜,So Cal        Bday 🎉 Sept 10,Tony 🌊 #DemVoice1,RT,['Tony 🌊 #DemVoice1'],"RT @TonyHussein4: #RenewableEnergy skeptics argue that because of their variability, wind &amp; solar cannot be the foundation of an electricit…",0.0,17.4,17.4
11008,1495462027518742530,Sun Feb 20 18:15:06 +0000 2022,"Carmen Goodwin, PhD😷☕🌶 💛🇺🇦 🚫by@MorningAnswer","Ingleside, TX",Tony 🌊 #DemVoice1,RT,['Tony 🌊 #DemVoice1'],"RT @TonyHussein4: #RenewableEnergy skeptics argue that because of their variability, wind &amp; solar cannot be the foundation of an electricit…",0.0,17.4,17.4
11010,1495461653466554368,Sun Feb 20 18:13:37 +0000 2022,Karen Lichtenstein,,Tony 🌊 #DemVoice1,RT,['Tony 🌊 #DemVoice1'],"RT @TonyHussein4: #RenewableEnergy skeptics argue that because of their variability, wind &amp; solar cannot be the foundation of an electricit…",0.0,17.4,17.4
11011,1495461609359224832,Sun Feb 20 18:13:26 +0000 2022,energyreferral.xyz,,eXWorld Technology News,RT,['eXWorld Technology News'],"RT @exworld3: ‘Renewable natural gas’ boom coming, advocates say, as companies turn waste into fuel https://t.co/mNRn9SSTRJ #RenewableEnergy",12.3,13.8,13.8
11012,1495461575330869253,Sun Feb 20 18:13:18 +0000 2022,energyreferral.xyz,,Tony 🌊 #DemVoice1,RT,['Tony 🌊 #DemVoice1'],"RT @TonyHussein4: #RenewableEnergy skeptics argue that because of their variability, wind &amp; solar cannot be the foundation of an electricit…",0.0,17.4,17.4
11017,1495461386935230471,Sun Feb 20 18:12:33 +0000 2022,John Snowmountainer,,eXWorld Technology News,RT,['eXWorld Technology News'],"RT @exworld3: ‘Renewable natural gas’ boom coming, advocates say, as companies turn waste into fuel https://t.co/mNRn9SSTRJ #RenewableEnergy",12.3,13.8,13.8
11018,1495461352885919745,Sun Feb 20 18:12:25 +0000 2022,John Snowmountainer,,Tony 🌊 #DemVoice1,RT,['Tony 🌊 #DemVoice1'],"RT @TonyHussein4: #RenewableEnergy skeptics argue that because of their variability, wind &amp; solar cannot be the foundation of an electricit…",0.0,17.4,17.4
11024,1495460029398495234,Sun Feb 20 18:07:09 +0000 2022,Mary Powers,NJ,Tony 🌊 #DemVoice1,RT,['Tony 🌊 #DemVoice1'],"RT @TonyHussein4: #RenewableEnergy skeptics argue that because of their variability, wind &amp; solar cannot be the foundation of an electricit…",0.0,17.4,17.4
11025,1495460006212296716,Sun Feb 20 18:07:04 +0000 2022,Pehicc,,Tony 🌊 #DemVoice1,RT,['Tony 🌊 #DemVoice1'],"RT @TonyHussein4: #RenewableEnergy skeptics argue that because of their variability, wind &amp; solar cannot be the foundation of an electricit…",0.0,17.4,17.4
11026,1495459634987032578,Sun Feb 20 18:05:35 +0000 2022,Maggie-Mae 🌊🌊 💛,United States,Tony 🌊 #DemVoice1,RT,['Tony 🌊 #DemVoice1'],"RT @TonyHussein4: #RenewableEnergy skeptics argue that because of their variability, wind &amp; solar cannot be the foundation of an electricit…",0.0,17.4,17.4
11027,1495459420351905792,Sun Feb 20 18:04:44 +0000 2022,Ely💟🐾💟Mowgli,,Tony 🌊 #DemVoice1,RT,['Tony 🌊 #DemVoice1'],"RT @TonyHussein4: #RenewableEnergy skeptics argue that because of their variability, wind &amp; solar cannot be the foundation of an electricit…",0.0,17.4,17.4
11029,1495459101572272136,Sun Feb 20 18:03:28 +0000 2022,Crone-a-riffic Earthen Vessel’s Had Enough!🖕,United States,Tony 🌊 #DemVoice1,RT,['Tony 🌊 #DemVoice1'],"RT @TonyHussein4: #RenewableEnergy skeptics argue that because of their variability, wind &amp; solar cannot be the foundation of an electricit…",0.0,17.4,17.4
11030,1495459014494326788,Sun Feb 20 18:03:07 +0000 2022,🌎 Orb Planet 🌊 Resisters 🔥 ClimateChange 🇺🇦,wtpEARTH,Tony 🌊 #DemVoice1,RT,['Tony 🌊 #DemVoice1'],"RT @TonyHussein4: #RenewableEnergy skeptics argue that because of their variability, wind &amp; solar cannot be the foundation of an electricit…",0.0,17.4,17.4
11031,1495458919950557190,Sun Feb 20 18:02:45 +0000 2022,eXWorld Technology News,,eXWorld Technology News,Tweet (self-loop),[],"‘Renewable natural gas’ boom coming, advocates say, as companies turn waste into fuel https://t.co/mNRn9SSTRJ #RenewableEnergy",13.7,15.3,15.3
11032,1495458601191841799,Sun Feb 20 18:01:29 +0000 2022,Glenn.,"Maine, USA",Tony 🌊 #DemVoice1,RT,['Tony 🌊 #DemVoice1'],"RT @TonyHussein4: #RenewableEnergy skeptics argue that because of their variability, wind &amp; solar cannot be the foundation of an electricit…",0.0,17.4,17.4
11033,1495458566358147073,Sun Feb 20 18:01:21 +0000 2022,Tony 🌊 #DemVoice1,Join DemVoice1 Politics/Nature,Tony 🌊 #DemVoice1,Tweet (self-loop),[],"#RenewableEnergy skeptics argue that because of their variability, wind &amp; solar cannot be the foundation of an electricity grid.

But the expansion of renewables &amp; new methods of energy management &amp; storage can lead to a grid that is reliable.

#DemVoice1
https://t.co/kOkYQKFTUV",5.9,6.5,6.5
11053,1495448876932808714,Sun Feb 20 17:22:51 +0000 2022,DomainApeBot,Vienna,BogdanAndrei-bogdins,RT,['BogdanAndrei-bogdins'],"RT @Domaintikon: No matter if onshore or #offshore wind farms are #daily  presence

https://t.co/foqtl5dDrI
https://t.co/9cuTORS1xn

new #D…",0.0,6.3,6.3
11054,1495448586468741122,Sun Feb 20 17:21:41 +0000 2022,Silicon Valley North,"Mountain View, CA",Silicon Valley North,Tweet (self-loop),['Mark Z. Jacobson'],"#SundayMorning Reading: #RenewableEnergy: ""[W]e have 95 percent of the technologies we need today and the know-how to get the rest..."" Op-Ed by @mzjacobson 
No Miracles Needed: https://t.co/CABGMbmVim",0.0,7.8,7.8
11055,1495447928462360577,Sun Feb 20 17:19:04 +0000 2022,BogdanAndrei-bogdins,European citizen,BogdanAndrei-bogdins,Tweet (self-loop),"['American Renewable Energy', 'ACCIONA (English)', 'GE Renewable Energy', 'IRENA', 'Australian Renewable Energy Agency', 'RenewableEnergyWorld']","No matter if onshore or #offshore wind farms are #daily  presence

https://t.co/foqtl5dDrI
https://t.co/9cuTORS1xn

new #Domains #domainsforsale #domainnamesforsale 
#premiumdomains #PremiumDomain 
#renewableenergy 
@ACORE 
@ACCIONA_EN 
@GErenewables 
@IRENA 
@ARENA_aus 
@REWorld https://t.co/DyPSQiKcRh",0.0,4.0,4.0
11062,1495446398933811200,Sun Feb 20 17:13:00 +0000 2022,energyreferral.xyz,,Veolia,RT,['Veolia'],"RT @Veolia: With 580 heating networks in 25 countries, Veolia is an expert. 🔥

Combining heating and cooling networks will reduce investmen…",0.0,10.3,10.3
11069,1495446151348293641,Sun Feb 20 17:12:01 +0000 2022,John Snowmountainer,,Veolia,RT,['Veolia'],"RT @Veolia: With 580 heating networks in 25 countries, Veolia is an expert. 🔥

Combining heating and cooling networks will reduce investmen…",0.0,10.3,10.3
11099,1495432578576355331,Sun Feb 20 16:18:05 +0000 2022,I Want VR,"London, England",I Want VR,Tweet (self-loop),['cappasity'],RT @cappasity: 3D and trends to watch them here in the ship wreck at sea! #tigersrock #RenewableEnergy,0.0,16.6,16.6
11138,1495419237174812677,Sun Feb 20 15:25:04 +0000 2022,ChoosingCleanEnergy,"Arlington, VA",ChoosingCleanEnergy,Tweet (self-loop),[],"Did you know that there are 120,000 square miles available for #cleanenergy in the central U.S. that avoid conflicts with #wildlife. Check out The Nature Conservancy's #SiteRenewablesRight map. 
#renewableenergy; #solar; #wind
https://t.co/u9PWsmkRxp",0.0,13.8,13.8
11143,1495417979672145920,Sun Feb 20 15:20:04 +0000 2022,TNC Climate,"Arlington, VA",TNC Climate,Tweet (self-loop),[],"Did you know that there are 120,000 square miles available for #cleanenergy in the central U.S. that avoid conflicts with #wildlife. Check out The Nature Conservancy's #SiteRenewablesRight map. 
#renewableenergy; #solar; #wind
https://t.co/xN4BC6GMlo",0.0,13.8,13.8
